TransVit -> No-Color
Date : 26-01-2016 09:45:34
Temps   Vitesse
09:45:35 0 0
09:45:35 0 0
09:45:36 0 0
09:45:36 0 0
09:45:37 0 0
09:45:37 0 0
09:45:38 0 0
09:45:38 0 0
09:45:39 0 0
09:45:39 0 0
09:45:40 0 0
09:45:40 0 0
09:45:41 0 0
09:45:41 0 0
09:45:42 0 0
09:45:42 0 0
09:45:43 0 0
09:45:43 0 0
09:45:44 0 0
09:45:44 0 0
09:45:45 25000 25000
09:45:45 25000 25000
09:45:46 26571 50000
09:45:46 50000 50000
09:45:47 51785 75000
09:45:47 75000 75000
09:45:48 75000 75000
09:45:48 76716 100000
09:45:49 100000 100000
09:45:49 102023 125000
09:45:50 125000 125000
09:45:50 127111 150000
09:45:51 150000 150000
09:45:51 152266 175000
09:45:52 175000 175000
09:45:52 177321 200000
09:45:53 200000 200000
09:45:53 200000 200000
09:45:54 200000 200000
09:45:54 200000 200000
09:45:55 202685 225000
09:45:55 225000 225000
09:45:56 225000 225000
09:45:56 227620 250000
09:45:57 250000 250000
09:45:57 252911 275000
09:45:58 275000 275000
09:45:58 275000 275000
09:45:59 278067 300000
09:45:59 300000 300000
09:46:00 300000 300000
09:46:00 303233 325000
09:46:01 325000 325000
09:46:01 325000 325000
09:46:02 325000 325000
09:46:02 325000 325000
09:46:03 321345 0
09:46:03 271323 0
09:46:04 221187 0
09:46:04 171160 0
09:46:05 121023 0
09:46:05 71017 0
09:46:06 0 0
09:46:06 0 0
09:46:07 0 0
09:46:07 0 0
09:46:08 0 0
09:46:08 0 0
09:46:09 0 0
09:46:09 0 0
09:46:10 0 0
09:46:10 0 0
09:46:11 0 0
09:46:11 0 0
09:46:12 0 0
09:46:12 0 0
09:46:13 0 0
09:46:13 0 0
09:46:14 0 0
09:46:14 0 0
09:46:15 0 0
09:46:15 0 0
09:46:16 0 0
09:46:16 0 0
09:46:17 0 0
09:46:17 0 0
09:46:18 0 0
09:46:18 0 0
09:46:19 0 0
09:46:19 0 0
09:46:20 0 0
09:46:20 0 0
09:46:21 0 0
09:46:21 0 0
09:46:22 0 0
09:46:22 0 0
09:46:23 0 0
09:46:23 0 0
09:46:24 0 0
09:46:24 0 0
09:46:25 0 0
09:46:25 0 0
09:46:26 0 0
09:46:26 0 0
09:46:27 0 0
09:46:27 0 0
09:46:28 0 0
09:46:28 0 0
09:46:29 0 0
09:46:29 0 0
09:46:30 0 0
09:46:30 0 0
09:46:31 0 0
09:46:31 0 0
09:46:32 0 0
09:46:32 0 0
09:46:33 0 0
09:46:33 0 0
09:46:34 0 0
09:46:34 0 0
09:46:35 0 0
09:46:35 0 0
09:46:36 0 0
09:46:36 0 0
09:46:37 0 0
09:46:37 0 0
09:46:38 0 0
09:46:38 0 0
09:46:39 0 0
09:46:39 0 0
09:46:40 0 0
09:46:40 0 0
09:46:41 0 0
09:46:41 0 0
09:46:42 0 0
09:46:42 0 0
09:46:43 0 0
09:46:43 0 0
09:46:44 0 0
09:46:44 0 0
09:46:45 0 0
09:46:45 0 0
09:46:46 0 0
09:46:46 0 0
09:46:47 0 0
09:46:47 0 0
09:46:48 0 0
09:47:42 0 0
09:47:42 0 0
09:47:43 0 0
09:47:43 0 0
09:47:44 0 0
09:47:44 0 0
09:47:45 0 0
09:47:45 0 0
09:47:46 0 0
09:47:46 0 0
09:47:47 0 0
09:47:47 0 0
09:47:48 0 0
09:47:48 0 0
09:47:49 0 0
09:47:49 0 0
09:47:50 0 0
09:47:50 0 0
09:47:51 0 0
09:47:51 0 0
09:47:52 0 0
09:47:52 0 0
09:47:53 0 0
09:47:53 0 0
09:47:54 0 0
09:47:54 0 0
09:47:55 0 0
09:47:55 0 0
09:47:56 0 0
09:47:56 0 0
09:47:57 0 0
09:47:57 0 0
09:47:58 0 0
09:47:58 0 0
09:47:59 0 0
09:47:59 0 0
09:48:00 0 0
09:48:01 0 0
09:48:01 0 0
09:48:02 0 0
09:48:02 0 0
