TransVit -> Rouge
Date : 22-01-2016 17:35:48
Temps   Vitesse
17:35:48 0 0
17:35:49 0 0
17:35:49 0 0
17:35:50 0 0
17:35:50 0 0
17:35:51 0 0
17:35:51 0 0
17:35:52 0 0
17:35:52 0 0
17:35:53 0 0
17:35:53 0 0
17:35:54 0 0
17:35:54 0 0
17:35:55 0 0
17:35:55 0 0
17:35:56 0 0
17:35:56 0 0
17:35:57 0 0
17:35:57 0 0
17:35:58 0 0
17:35:58 0 0
17:35:59 0 0
17:35:59 0 0
17:36:00 0 0
17:36:00 0 0
17:36:01 0 0
17:36:01 0 0
17:36:02 0 0
17:36:02 0 0
17:36:03 0 0
17:36:03 0 0
17:36:04 0 0
17:36:04 0 0
17:36:05 0 0
17:36:05 0 0
17:36:06 0 0
17:36:06 0 0
17:36:07 0 0
17:36:07 0 0
17:36:08 0 0
17:36:08 0 0
17:36:09 0 0
17:36:09 0 0
17:36:10 0 0
17:36:10 0 0
17:36:11 0 0
17:36:11 0 0
17:36:12 0 0
17:36:12 0 0
17:36:13 0 0
17:36:13 0 0
17:36:14 0 0
17:36:14 0 0
17:36:15 0 0
17:36:15 0 0
17:36:16 0 0
17:36:16 0 0
17:36:17 0 0
17:36:17 0 0
17:36:18 0 0
17:36:18 0 0
17:36:19 0 0
17:36:19 0 0
17:36:20 0 0
17:36:20 0 0
17:36:21 0 0
17:36:21 20000 20000
17:36:22 20000 20000
17:36:22 20000 20000
17:36:23 20000 20000
17:36:23 26044 40000
17:36:24 40000 40000
17:36:24 46046 60000
17:36:25 60000 60000
17:36:25 66371 80000
17:36:26 80000 80000
17:36:26 86278 100000
17:36:27 100000 100000
17:36:27 106131 120000
17:36:28 120000 120000
17:36:28 126652 140000
17:36:29 140000 140000
17:36:29 140000 140000
17:36:30 146724 160000
17:36:30 160000 160000
17:36:31 160000 160000
17:36:31 166951 180000
17:36:32 180000 180000
17:36:32 180000 180000
17:36:33 180000 180000
17:36:33 187067 200000
17:36:34 200000 200000
17:36:34 200000 200000
17:36:35 200000 200000
17:36:35 200000 220000
17:36:36 207388 220000
17:36:36 220000 220000
17:36:37 220000 220000
17:36:37 227930 240000
17:36:38 240000 240000
17:36:38 240000 240000
17:36:39 240000 240000
17:36:39 240000 240000
17:36:40 248084 260000
17:36:40 260000 260000
17:36:41 260000 260000
17:36:41 260000 260000
17:36:42 260000 260000
17:36:42 260000 260000
17:36:43 268740 280000
17:36:43 280000 280000
17:36:44 280000 280000
17:36:44 280000 280000
17:36:45 271185 260000
17:36:45 260000 260000
17:36:46 260000 260000
17:36:46 250732 240000
17:36:47 240000 240000
17:36:47 240000 220000
17:36:48 230453 220000
17:36:48 220000 220000
17:36:49 210344 200000
17:36:49 200000 200000
17:36:50 190538 180000
17:36:50 180000 180000
17:36:51 180000 180000
17:36:51 180000 180000
17:36:52 180000 180000
17:36:52 180000 180000
17:36:53 180000 180000
17:36:53 180000 180000
17:36:54 180000 180000
17:36:54 180000 180000
17:36:55 180000 180000
17:36:55 180000 180000
17:36:56 180000 180000
17:36:56 180000 180000
17:36:57 180000 180000
17:36:57 180000 180000
17:36:58 180000 180000
17:36:58 180000 180000
17:36:59 180000 180000
17:36:59 180000 180000
17:37:00 180000 180000
17:37:00 180000 180000
17:37:01 180000 180000
17:37:01 180000 180000
17:37:02 180000 180000
17:37:02 180000 180000
17:37:03 180000 180000
17:37:03 180000 180000
17:37:04 180000 180000
17:37:04 180000 180000
17:37:05 180000 180000
17:37:05 180000 180000
17:37:06 180000 180000
17:37:06 180000 180000
17:37:07 180000 180000
17:37:07 191950 200000
17:37:08 200000 200000
17:37:08 200000 200000
17:37:09 200000 220000
17:37:09 212936 220000
17:37:10 220000 220000
17:37:10 220000 220000
17:37:11 220000 220000
17:37:11 233151 240000
17:37:12 240000 240000
17:37:12 240000 240000
17:37:13 240000 240000
17:37:13 240000 240000
17:37:14 240000 240000
17:37:14 240000 240000
17:37:15 253509 260000
17:37:15 260000 260000
17:37:16 260000 260000
17:37:16 260000 260000
17:37:17 260000 260000
17:37:17 245805 240000
17:37:18 240000 240000
17:37:18 225941 220000
17:37:19 205844 200000
17:37:19 200000 180000
17:37:20 185871 180000
17:37:20 180000 180000
17:37:21 180000 200000
17:37:21 194243 220000
17:37:22 214215 220000
17:37:22 220000 220000
17:37:23 220000 220000
17:37:23 220000 220000
17:37:24 234552 240000
17:37:24 240000 240000
17:37:25 240000 240000
17:37:25 240000 240000
17:37:26 240000 240000
17:37:26 240000 240000
17:37:27 240000 240000
17:37:27 240000 240000
17:37:28 240000 240000
17:37:28 240000 240000
17:37:29 240000 240000
17:37:29 240000 240000
17:37:30 240000 240000
17:37:30 240000 240000
17:37:31 240000 240000
17:37:31 240000 240000
17:37:32 240000 240000
17:37:32 240000 240000
17:37:33 240000 240000
17:37:33 240000 240000
17:37:34 240000 240000
17:37:34 240000 240000
17:37:35 240000 240000
17:37:35 240000 240000
17:37:36 240000 240000
17:37:36 240000 240000
17:37:37 240000 240000
17:37:37 240000 240000
17:37:38 240000 240000
17:37:38 240000 240000
17:37:39 240000 240000
17:37:39 240000 240000
17:37:40 240000 240000
17:37:40 240000 240000
17:37:41 240000 240000
17:37:41 240000 240000
17:37:42 240000 240000
17:37:42 240000 240000
17:37:43 240000 240000
17:37:43 240000 240000
17:37:44 240000 240000
17:37:44 240000 240000
17:37:45 240000 240000
17:37:45 240000 240000
17:37:46 240000 240000
17:37:46 240000 240000
17:37:47 240000 240000
17:37:47 240000 240000
17:37:48 240000 240000
17:37:48 240000 240000
17:37:49 240000 240000
17:37:49 240000 240000
17:37:50 240000 240000
17:37:50 240000 240000
17:37:51 240000 240000
17:37:51 240000 240000
17:37:52 240000 240000
17:37:52 240000 240000
17:37:53 240000 240000
17:37:53 240000 240000
17:37:54 240000 240000
17:37:54 240000 240000
17:37:55 240000 240000
17:37:55 240000 240000
17:37:56 240000 240000
17:37:56 240000 240000
17:37:57 240000 240000
17:37:57 240000 240000
17:37:58 240000 240000
17:37:58 240000 240000
17:37:59 240000 240000
17:37:59 240000 240000
17:38:00 240000 240000
17:38:00 240000 240000
17:38:01 240000 240000
17:38:01 240000 240000
17:38:02 240000 240000
